id	text_name	author	deprecated	correct_spelling_id	synonym_id	rank
317	Clavicorona	Doty	0	NULL	NULL	9
318	Clavicorona pyxidata	(Pers.) Donk	1	NULL	496	4
319	Clavariadelphus occidentalis	Methven	0	NULL	NULL	4
320	Clavaria vermicularis	Sw.	1	NULL	3037	4
321	Chrysomphalina chrysophylla	(Fr.) Clémençon	0	NULL	3339	4
322	Chrysomphalina aurantiaca	(Peck) Redhead	0	NULL	5700	4
323	Chroogomphus tomentosus	(Murrill) O.K. Mill.	0	NULL	5578	4
324	Chroogomphus rutilus	(Schaeff.) O.K. Mill.	0	NULL	58	4
325	Chlorophyllum molybdites	(G. Mey.) Massee	0	NULL	57	4
326	Chlorophyllum brunneum	(Farl. & Burt) Vellinga	0	NULL	3851	4
327	Caulorhiza umbonata	(Peck) Lennox	0	NULL	NULL	4
328	Cantharellus minor	Peck	0	NULL	5372	4
329	Cantharellus formosus	Corner	0	NULL	591	4
330	Cantharellus cinnabarinus	(Schwein.) Schwein.	0	NULL	9573	4
332	Caloscypha fulgens	(Pers.) Boud.	0	NULL	4131	4
333	Calocybe	Kühner ex Donk	0	NULL	9617	9
334	Calocybe onychina	(Fr.) Donk	0	NULL	4339	4
336	Calbovista subsculpta	Morse ex M.T. Seidl	0	NULL	NULL	4
337	Brauniellula albipes	(Zeller) A.H. Sm. & Singer	1	NULL	4087	4
338	Boletus variipes	Peck	0	NULL	6452	4
339	Boletus variipes var. fagicola	A.H. Sm. & Thiers	0	NULL	NULL	2
340	Boletus ornatipes	Peck	1	NULL	641	4
341	Boletus mirabilis	Murrill	1	NULL	4551	4
342	Boletus fibrillosus	Thiers	0	NULL	NULL	4
343	Boletus erythropus	Pers.	1	NULL	3248	4
344	Boletus edulis	Bull.	0	NULL	8869	4
345	Boletus calopus	Pers.	1	NULL	6059	4
346	Boletus bicolor	Peck	1	NULL	5350	4
347	Boletus barrowsii	Thiers & A.H. Sm.	0	NULL	NULL	4
348	Boletus appendiculatus	Schaeff.	1	NULL	4468	4
349	Boletus amygdalinus	Thiers	1	NULL	4590	4
350	Boletopsis leucomelaena	(Pers.) Fayod	0	NULL	NULL	4
351	Bolbitius vitellinus	(Pers.) Fr.	1	NULL	9709	4
352	Bolbitius coprophilus	(Peck) Hongo	0	NULL	NULL	4
353	Bolbitius aleuriatus	(Fr.) Singer	1	NULL	2512	4
354	Austroboletus gracilis	(Peck) Wolfe	0	NULL	9759	4
355	Auriscalpium vulgare	Gray	0	NULL	NULL	4
356	Astraeus pteridis	(Shear) Zeller	0	NULL	NULL	4
357	Arrhenia	Fr.	0	NULL	3992	9
358	Arrhenia epichysium	(Pers.) Redhead, Lutzoni, Moncalvo & Vilgalys	0	NULL	718	4
359	Armillaria	(Fr.) Staude	0	NULL	9606	9
360	Armillaria mellea	(Vahl) P. Kumm.	0	NULL	31	4
361	Armillaria gallica	Marxm. & Romagn.	0	NULL	NULL	4
362	Amanita velosa	(Peck) Lloyd	0	NULL	NULL	4
363	Amanita breckonii	Thiers & Ammirati	0	NULL	NULL	4
364	Amanita	Pers.	0	NULL	8935	9
365	Amanita silvicola	Kauffman	0	NULL	NULL	4
366	Amanita rhopalopus	Bas	0	NULL	9347	4
367	Amanita protecta	Tulloss & G. Wright	0	NULL	9279	4
369	Amanita pantherina	(DC.) Krombh.	0	NULL	4996	4
370	Amanita pachycolea	D.E. Stuntz	0	NULL	5538	4
371	Amanita ocreata	Peck	0	NULL	424	4
373	Amanita muscaria	(L.) Lam.	0	NULL	9473	4
374	Amanita muscaria var. flavivolvata	(Singer) Dav. T. Jenkins	1	NULL	4383	2
375	Amanita magniverrucata	Thiers & Ammirati	0	NULL	2603	4
377	Amanita fulva	(Schaeff.) Fr.	0	NULL	6519	4
378	Amanita franchetii	sensu Thiers	1	NULL	2853	4
379	Amanita flavoconia	G.F. Atk.	0	NULL	2658	4
380	Amanita constricta	Thiers & Ammirati	0	NULL	NULL	4
381	Amanita calyptratoides	Peck	0	NULL	5635	4
382	Amanita bisporigera	G.F. Atk.	0	NULL	4341	4
383	Aleuria aurantia	(Pers.) Fuckel	0	NULL	9621	4
384	Alboleptonia sericella	(Fr.) Largent & R.G. Benedict	1	NULL	23	4
385	Albatrellus caeruleoporus	(Peck) Pouzar	1	NULL	3554	4
386	Agrocybe praecox	(Pers.) Fayod	0	NULL	8718	4
387	Agaricus xanthodermus	Genev.	0	NULL	NULL	4
388	Agaricus	L.	0	NULL	240	9
390	Agaricus semotus	Fr.	0	NULL	NULL	4
391	Agaricus praeclaresquamosus	A.E. Freeman	1	NULL	18	4
392	Agaricus lilaceps	Zeller	0	NULL	16	4
393	Agaricus hondensis	Murrill	0	NULL	NULL	4
394	Agaricus fuscovelatus	Kerrigan	0	NULL	NULL	4
395	Agaricus cupreobrunneus	(Jul. Schäff. & Steer) Pilát	0	NULL	430	4
396	Agaricus campestris	L.	0	NULL	3160	4
397	Agaricus californicus	Peck	0	NULL	NULL	4
398	Agaricus subrufescens	Peck	0	NULL	489	4
399	Agaricus bitorquis	(Quél.) Sacc.	0	NULL	15	4
401	Agaricus augustus	Fr.	0	NULL	6036	4
402	Agaricus albolutescens	Zeller	0	NULL	NULL	4
403	Agrocybe pediades	(Fr.) Fayod	0	NULL	3957	4
404	Cantharellus cibarius	Fr.	0	NULL	9371	4
405	Cantharellus cibarius var. roseocanus	Redhead, Norvell & Danell	1	NULL	4057	2
406	Russula mordax	Burl.	0	NULL	NULL	4
407	Ganoderma oregonense	Murrill	0	NULL	8986	4
408	Phellinus pini	(Brot.) Bondartsev & Singer	1	NULL	3124	4
409	Russula brevipes	Peck	0	NULL	4537	4
410	Stereum hirsutum	(Willd.) Pers.	0	NULL	6712	4
411	Trichaptum abietinum	(Pers. ex J.F. Gmel.) Ryvarden	0	NULL	388	4
412	Calvatia sculpta	(Harkn.) Lloyd	0	NULL	NULL	4
413	Exobasidium vaccinii	(Fuckel) Woronin	0	NULL	NULL	4
414	Scleroderma cepa	Pers.	0	NULL	3873	4
